alignment,combat,durability,eye_color,gender,hair_color,height,id,image,intelligence,name,ocuppation,power,publisher,race,speed,strength,weight
good,70,28,-,Male,-,0 cm,147,https://www.superherodb.com/pictures2/portraits/10/100/1528.jpg,50,Cameron Hicks,-,51,SyFy,Alpha,23,10,0 kg
good,56,99,Blue,Male,Blond,183 cm,148,https://www.superherodb.com/pictures2/portraits/10/100/272.jpg,50,Cannonball,"Adventurer, peacekeeper, former student, mercenary, miner",94,Marvel Comics,null,67,28,81 kg
good,100,55,blue,Male,blond,188 cm,149,https://www.superherodb.com/pictures2/portraits/10/100/274.jpg,69,Captain America,"Adventurer, federal official, intelligence operative; former soldier, Hydra agent, liaison between S.H.I.E.L.D. and the Avengers, police officer, teacher, sparring partner.",60,Marvel Comics,Human,38,19,108 kg
good,80,90,Blue,Male,Silver,193 cm,150,https://www.superherodb.com/pictures2/portraits/10/100/1007.jpg,81,Captain Atom,Former Soldier,100,DC Comics,Human / Radiation,83,93,90 kg
good,80,60,Blue,Male,Blond,198 cm,151,https://www.superherodb.com/pictures2/portraits/10/100/276.jpg,75,Captain Britain,"Adventurer, formerly King of Otherworld, scientist",31,Marvel Comics,Human,50,77,116 kg
neutral,20,20,Brown,Male,Brown,0 cm,152,https://www.superherodb.com/pictures2/portraits/10/100/653.jpg,50,Captain Cold,Professional Criminal,28,DC Comics,Human,17,10,0 kg
good,null,null,Blue,Male,Brown,188 cm,153,https://www.superherodb.com/pictures2/portraits/10/100/3.jpg,null,Captain Epic,Superhero,null,Team Epic TV,null,null,null,0 kg
good,20,30,-,Male,Black,0 cm,154,https://www.superherodb.com/pictures2/portraits/10/100/10399.jpg,25,Captain Hindsight,Former Superhero; News Reporter,10,South Park,Human,83,10,0 kg
good,null,null,Blue,Male,Blond,188 cm,155,https://www.superherodb.com/pictures2/portraits/10/100/654.jpg,null,Captain Mar-vell,"Captain in the Kree space fleet, later adventurer, later ""Protector of the Universe""",null,Marvel Comics,null,null,80,108 kg
good,75,95,Blue,Male,Black,193 cm,156,https://www.superherodb.com/pictures2/portraits/10/100/278.jpg,88,Captain Marvel,-,100,DC Comics,Human,88,100,101 kg
good,90,95,Blue,Female,Blond,180 cm,157,https://www.superherodb.com/pictures2/portraits/10/100/103.jpg,84,Captain Marvel,"Former National Aeronautics and Space Administration security Chief, former magazine editor, former freelance writer, former military intelligence officer.",100,Binary,Human-Kree,71,88,74 kg
good,56,90,Blue,Male,Black,175 cm,158,https://www.superherodb.com/pictures2/portraits/10/100/279.jpg,75,Captain Marvel II,Adventurer,34,DC Comics,Human,27,81,74 kg
good,null,null,-,Male,-,0 cm,159,https://www.superherodb.com/pictures2/portraits/10/100/10443.jpg,null,Captain Midnight,-,null,Dark Horse Comics,Human,null,null,0 kg
good,60,80,Red,Male,Green,0 cm,160,https://www.superherodb.com/pictures2/portraits/10/100/1285.jpg,50,Captain Planet,-,100,Marvel Comics,God / Eternal,75,88,0 kg
good,null,null,-,-,-,0 cm,161,https://www.superherodb.com/pictures2/portraits/10/100/855.jpg,null,Captain Universe,-,null,Marvel Comics,God / Eternal,null,92,0 kg
bad,90,84,Green,Male,Red,185 cm,162,https://www.superherodb.com/pictures2/portraits/10/100/187.jpg,63,Carnage,-,88,Marvel Comics,Symbiote,70,63,86 kg
good,null,null,Blue,Female,Blond,173 cm,163,https://www.superherodb.com/pictures2/portraits/10/100/904.jpg,null,Cat,Model,null,Marvel Comics,null,null,90,61 kg
good,null,null,-,Female,-,0 cm,164,https://www.superherodb.com/pictures2/portraits/10/100/903.jpg,null,Cat II,-,null,Marvel Comics,null,null,null,0 kg
good,85,28,Green,Female,Black,175 cm,165,https://www.superherodb.com/pictures2/portraits/10/100/659.jpg,69,Catwoman,Thief,27,DC Comics,Human,33,11,61 kg
good,null,null,Brown,-,Brown,170 cm,166,https://www.superherodb.com/pictures2/portraits/10/100/43.jpg,null,Cecilia Reyes,Doctor in private practice,null,Marvel Comics,null,null,null,62 kg
good,100,64,White,Male,White,201 cm,167,https://www.superherodb.com/pictures2/portraits/10/100/1511.jpg,88,Century,"Tracker, adventurer",100,Marvel Comics,Alien,53,80,97 kg
good,null,null,-,Female,-,0 cm,168,https://www.superherodb.com/pictures2/portraits/10/100/1512.jpg,null,Cerebra,-,null,Marvel Comics,Mutant,null,57,0 kg
good,64,80,Brown,Male,Brown,175 cm,169,https://www.superherodb.com/pictures2/portraits/10/100/44.jpg,50,Chamber,Adventurer,57,Marvel Comics,Mutant,20,10,63 kg
bad,28,28,-,Male,-,0 cm,170,https://www.superherodb.com/pictures2/portraits/10/100/660.jpg,88,Chameleon,-,28,DC Comics,null,12,10,0 kg
bad,64,42,Brown,Male,Black,180 cm,171,https://www.superherodb.com/pictures2/portraits/10/100/1107.jpg,63,Changeling,"Former substitute teacher, adventurer, subversive",64,Marvel Comics,null,23,10,81 kg
bad,70,20,Green,Female,Blond,163 cm,172,https://www.superherodb.com/pictures2/portraits/10/100/661.jpg,38,Cheetah,-,32,DC Comics,Human,42,8,50 kg
bad,60,20,Green,Female,Brown,170 cm,173,https://www.superherodb.com/pictures2/portraits/10/100/925.jpg,38,Cheetah II,-,39,DC Comics,Human,42,20,55 kg
bad,95,80,Brown,Female,Brown,175 cm,174,https://www.superherodb.com/pictures2/portraits/10/100/926.jpg,88,Cheetah III,"Archaeologist, Anthropologist",78,DC Comics,Human,88,100,54 kg
bad,null,null,Brown,Male,Red / Grey,185 cm,175,https://www.superherodb.com/pictures2/portraits/10/100/1001.jpg,null,Chromos,"Bar owner and Entertainer, President of V.E., Lieutenant in the G.V.W.",null,Team Epic TV,null,null,null,86 kg
good,99,56,-,Male,-,178 cm,176,https://www.superherodb.com/pictures2/portraits/10/100/954.jpg,50,Chuck Norris,-,42,null,null,47,80,0 kg
good,60,100,Green,Male,Red,183 cm,177,https://www.superherodb.com/pictures2/portraits/10/100/10661.jpg,50,Citizen Steel,"Adventurer, former Professional Football Player",23,DC Comics,Human,33,95,170 kg
good,28,100,Blue,Female,Blond,0 cm,178,https://www.superherodb.com/pictures2/portraits/10/100/941.jpg,38,Claire Bennet,"High school student, cheerleader",90,NBC - Heroes,null,12,9,0 kg
good,null,null,-,-,White,0 cm,179,https://www.superherodb.com/pictures2/portraits/10/100/45.jpg,null,Clea,Former ruler and Sorceress Supreme of the Dark Dimension; former apprentice of Doctor Strange,null,Marvel Comics,null,null,39,0 kg
good,56,64,brown,Male,black,226 cm,180,https://www.superherodb.com/pictures2/portraits/10/100/46.jpg,63,Cloak,Vigilante,100,Marvel Comics,null,47,10,70 kg
bad,40,10,Blue,Male,Black,178 cm,181,https://www.superherodb.com/pictures2/portraits/10/100/10396.jpg,75,Clock King,-,7,DC Comics,Human,17,10,78 kg
bad,null,null,-,Male,-,0 cm,182,https://www.superherodb.com/pictures2/portraits/10/100/1074.jpg,null,Cogliostro,-,null,Image Comics,null,null,null,0 kg
good,null,null,Grey,Male,Brown,0 cm,183,https://www.superherodb.com/pictures2/portraits/10/100/1153.jpg,null,Colin Wagner,-,null,HarperCollins,null,null,null,0 kg
good,null,null,-,Male,-,0 cm,184,https://www.superherodb.com/pictures2/portraits/10/100/1182.jpg,null,Colossal Boy,-,null,DC Comics,null,null,null,0 kg
good,80,100,Silver,Male,Black,226 cm,185,https://www.superherodb.com/pictures2/portraits/10/100/48.jpg,63,Colossus,"(current) Adventurer, student, (former) Artist",45,Marvel Comics,Mutant,33,83,225 kg
neutral,60,25,Red,Female,White,183 cm,186,https://www.superherodb.com/pictures2/portraits/10/100/10423.jpg,56,Copycat,-,54,Marvel Comics,Mutant,21,10,67 kg
good,null,null,Brown,Male,Brown,191 cm,187,https://www.superherodb.com/pictures2/portraits/10/100/49.jpg,null,Corsair,"Pirate, former pilot",null,Marvel Comics,null,null,16,79 kg
bad,25,10,Brown,Male,Black,183 cm,188,https://www.superherodb.com/pictures2/portraits/10/100/10452.jpg,50,Cottonmouth,Professional criminal,27,Marvel Comics,Human,8,10,99 kg
good,null,null,Blue,Male,Strawberry Blond,0 cm,189,https://www.superherodb.com/pictures2/portraits/10/100/303.jpg,null,Crimson Crusader,-,null,Marvel Comics,null,null,58,0 kg
good,null,null,Brown,Male,No Hair,180 cm,190,https://www.superherodb.com/pictures2/portraits/10/100/1093.jpg,null,Crimson Dynamo,Scientist,null,Marvel Comics,null,null,65,104 kg
good,56,14,Green,Female,Red,168 cm,191,https://www.superherodb.com/pictures2/portraits/10/100/305.jpg,63,Crystal,"Mother, adventuress",61,Marvel Comics,Inhuman,12,16,50 kg
bad,null,null,-,Male,-,0 cm,192,https://www.superherodb.com/pictures2/portraits/10/100/1066.jpg,null,Curse,-,null,Image Comics,null,null,null,0 kg
bad,null,null,-,Male,-,0 cm,193,https://www.superherodb.com/pictures2/portraits/10/100/1075.jpg,null,Cy-Gor,-,null,Image Comics,null,null,96,0 kg
good,64,85,Brown,Male,Black,198 cm,194,https://www.superherodb.com/pictures2/portraits/10/100/1204.jpg,75,Cyborg,"Adventurer, Teen Titan",71,DC Comics,Cyborg,42,53,173 kg
bad,80,100,Blue,Male,Black,0 cm,195,https://www.superherodb.com/pictures2/portraits/10/100/667.jpg,75,Cyborg Superman,-,100,DC Comics,Cyborg,92,93,0 kg
good,80,42,Brown,Male,Brown,191 cm,196,https://www.superherodb.com/pictures2/portraits/10/100/50.jpg,75,Cyclops,"Leader of mutant race, adventurer, headmaster, former student, radio announcer",76,Marvel Comics,Mutant,23,10,88 kg
good,null,null,Blue,-,Blond,175 cm,197,https://www.superherodb.com/pictures2/portraits/10/100/168.jpg,null,Cypher,"Student, Adventurer",null,Marvel Comics,null,null,44,68 kg
good,70,42,Blue,Female,Blond,"Shaker Heights, Ohio",198,https://www.superherodb.com/pictures2/portraits/10/100/51.jpg,63,Dagger,Vigilante,52,Marvel Comics,null,35,10,52 kg
good,null,null,Brown,Male,Blond,0 cm,199,https://www.superherodb.com/pictures2/portraits/10/100/1152.jpg,null,Danny Cooper,-,null,HarperCollins,null,null,null,0 kg
good,10,10,-,Female,-,0 cm,200,https://www.superherodb.com/pictures2/portraits/10/100/1356.jpg,38,Daphne Powell,Student,56,ABC Studios,null,8,10,0 kg
good,100,35,Blue,Male,Red,183 cm,201,https://www.superherodb.com/pictures2/portraits/10/100/52.jpg,75,Daredevil,"Adventurer, vigilante, Attorney at Law",61,Marvel Comics,Human,25,13,90 kg
good,64,70,Brown,Male,Brown,185 cm,202,https://www.superherodb.com/pictures2/portraits/10/100/53.jpg,50,Darkhawk,Retired Superhero,74,Marvel Comics,Human,33,32,81 kg
good,28,85,-,Male,-,0 cm,203,https://www.superherodb.com/pictures2/portraits/10/100/1126.jpg,75,Darkman,Scientist,12,Universal Studios,null,23,14,0 kg
bad,95,100,Red,Male,No Hair,267 cm,204,https://www.superherodb.com/pictures2/portraits/10/100/668.jpg,88,Darkseid,Dictator of Apokolips,100,DC Comics,New God,83,100,817 kg
bad,null,null,-,-,-,0 cm,205,https://www.superherodb.com/pictures2/portraits/10/100/840.jpg,null,Darkside,-,null,null,null,null,null,0 kg
good,64,42,Brown,Female,Blond,168 cm,206,https://www.superherodb.com/pictures2/portraits/10/100/169.jpg,38,Darkstar,Occupation unknown,79,Marvel Comics,Mutant,35,8,56 kg
bad,100,30,Yellow / Red,Male,-,170 cm,207,https://www.superherodb.com/pictures2/portraits/10/100/10464.jpg,56,Darth Maul,-,100,George Lucas,Dathomirian Zabrak,50,48,0 kg
bad,100,35,Yellow,Male,No Hair,198 cm,208,https://www.superherodb.com/pictures2/portraits/10/100/10444.jpg,69,Darth Vader,"Sith Lord, Supreme Commander of the Imperial Fleet",100,George Lucas,Cyborg,33,48,135 kg
good,30,60,Blue,Male,Blond,122 cm,209,https://www.superherodb.com/pictures2/portraits/10/100/824.jpg,25,Dash,-,20,Dark Horse Comics,Human,92,12,27 kg
good,50,40,Yellow,Male,Brown,0 cm,210,https://www.superherodb.com/pictures2/portraits/10/100/10577.jpg,100,Data,Lieutenant commander,56,Star Trek,Android,21,32,0 kg
good,55,60,Blue,Female,Blond,173 cm,211,https://www.superherodb.com/pictures2/portraits/10/100/1043.jpg,63,Dazzler,"Adventurer, singer, former actress, model, revolutionary",100,Marvel Comics,Mutant,33,10,52 kg
good,42,100,Blue,Male,Black,183 cm,212,https://www.superherodb.com/pictures2/portraits/10/100/1472.jpg,50,Deadman,"Wandering Spirit, Former Circus Aerialist",100,DC Comics,Human,33,10,90 kg
neutral,100,100,Brown,Male,No Hair,188 cm,213,https://www.superherodb.com/pictures2/portraits/10/100/835.jpg,69,Deadpool,"Mercenary; former enforcer, government operative, sumo wrestler, soldier, assassin, anti-hero, others",100,Evil Deadpool,Mutant,50,32,95 kg
bad,80,28,Brown,Male,Brown,185 cm,214,https://www.superherodb.com/pictures2/portraits/10/100/670.jpg,50,Deadshot,-,55,DC Comics,Human,23,10,91 kg
good,60,70,Brown,Male,Grey,193 cm,215,https://www.superherodb.com/pictures2/portraits/10/100/1304.jpg,69,Deathlok,-,40,Marvel Comics,Cyborg,30,32,178 kg
neutral,90,100,Blue,Male,White,193 cm,216,https://www.superherodb.com/pictures2/portraits/10/100/672.jpg,75,Deathstroke,"Mercenary; Former Soldier, Big-Game Hunter",47,DC Comics,Human,35,30,101 kg
bad,60,35,Red,Male,No Hair,185 cm,217,https://www.superherodb.com/pictures2/portraits/10/100/1515.jpg,50,Demogoblin,Demonic Redeemer,67,Marvel Comics,Demon,42,48,95 kg
bad,70,98,-,Male,-,188 cm,218,https://www.superherodb.com/pictures2/portraits/10/100/1294.jpg,50,Destroyer,-,85,Marvel Comics,null,58,95,383 kg
bad,60,28,Brown,Male,Black,193 cm,219,https://www.superherodb.com/pictures2/portraits/10/100/1404.jpg,44,Diamondback,Criminal,45,Marvel Comics,Human,23,16,90 kg
good,56,56,-,Male,-,0 cm,220,https://www.superherodb.com/pictures2/portraits/10/100/943.jpg,50,DL Hawkins,"Construction worker, Firefighter",48,NBC - Heroes,null,12,12,0 kg
good,70,80,Blue,Male,Green,198 cm,221,https://www.superherodb.com/pictures2/portraits/10/100/54.jpg,75,Doc Samson,"Psychiatrist, teacher, adventurer, former special consultant to Gamma Base",36,Marvel Comics,Human / Radiation,33,80,171 kg
bad,84,100,Brown,Male,Brown,201 cm,222,https://www.superherodb.com/pictures2/portraits/10/100/189.jpg,100,Doctor Doom,Monarch,100,Marvel Comics,Human,20,32,187 kg
bad,null,null,Brown,Male,Brown,201 cm,223,https://www.superherodb.com/pictures2/portraits/10/100/1018.jpg,null,Doctor Doom II,-,null,Marvel Comics,null,null,null,132 kg
good,50,80,Blue,Male,Blond,188 cm,224,https://www.superherodb.com/pictures2/portraits/10/100/676.jpg,81,Doctor Fate,-,100,DC Comics,Human,25,16,89 kg
bad,65,40,Brown,Male,Brown,175 cm,225,https://www.superherodb.com/pictures2/portraits/10/100/622.jpg,94,Doctor Octopus,"Former atomic-research consultant, criminal mastermind",53,Marvel Comics,Human,33,48,110 kg
good,60,84,Grey,Male,Black,188 cm,226,https://www.superherodb.com/pictures2/portraits/10/100/55.jpg,100,Doctor Strange,"Sorcerer Supreme, retired neurosurgeon",100,Marvel Comics,Human,12,10,81 kg
good,74,28,Blue,Female,Black,173 cm,227,https://www.superherodb.com/pictures2/portraits/10/100/902.jpg,63,Domino,-,49,Marvel Comics,Human,27,10,54 kg
good,75,60,Green,Male,No Hair,0 cm,228,https://www.superherodb.com/pictures2/portraits/10/100/10330.jpg,88,Donatello,-,58,IDW Publishing,Mutant,46,14,0 kg
good,null,null,Blue,Female,Black,175 cm,229,https://www.superherodb.com/pictures2/portraits/10/100/806.jpg,null,Donna Troy,-,null,DC Comics,Amazon,null,89,63 kg
bad,90,100,Red,Male,White,244 cm,230,https://www.superherodb.com/pictures2/portraits/10/100/679.jpg,75,Doomsday,Destroyer,100,DC Comics,Alien,67,100,412 kg
bad,84,95,White,Male,No Hair,196 cm,231,https://www.superherodb.com/pictures2/portraits/10/100/1320.jpg,8,Doppelganger,-,69,Marvel Comics,null,60,63,104 kg
bad,80,100,Yellow,Male,No Hair,185 cm,232,https://www.superherodb.com/pictures2/portraits/10/100/1359.jpg,88,Dormammu,"Despot, conqueror",100,Marvel Comics,null,83,95,0 kg
good,42,100,White,Male,No Hair,0 cm,233,https://www.superherodb.com/pictures2/portraits/10/100/884.jpg,88,Dr Manhattan,Scientist,100,DC Comics,Human / Cosmic,42,100,0 kg
good,65,85,Red,Male,No Hair,193 cm,234,https://www.superherodb.com/pictures2/portraits/10/100/10016.jpg,56,Drax the Destroyer,-,46,Marvel Comics,Human / Altered,25,80,306 kg
bad,28,99,-,-,-,0 cm,235,https://www.superherodb.com/pictures2/portraits/10/100/6.jpg,88,Ego,Inapplicable,71,Marvel Comics,null,83,80,0 kg
good,70,95,Brown,Female,Brown,168 cm,236,https://www.superherodb.com/pictures2/portraits/10/100/870.jpg,63,Elastigirl,-,52,Dark Horse Comics,Human,33,32,56 kg
bad,64,56,Blue,Male,Auburn,180 cm,237,https://www.superherodb.com/pictures2/portraits/10/100/7.jpg,69,Electro,Professional criminal,67,Marvel Comics,Human,50,10,74 kg
good,100,28,Blue,Female,Black,175 cm,238,https://www.superherodb.com/pictures2/portraits/10/100/625.jpg,63,Elektra,"Assassin, adventurer, mercenary, former student, dancer",59,Marvel Comics,Human,30,11,59 kg
bad,42,42,Blue,Female,Blond,0 cm,239,https://www.superherodb.com/pictures2/portraits/10/100/1021.jpg,50,Elle Bishop,Agent of the Company,63,NBC - Heroes,null,12,8,0 kg
good,40,90,Blue,Male,Red,185 cm,240,https://www.superherodb.com/pictures2/portraits/10/100/1381.jpg,75,Elongated Man,Detective,44,DC Comics,null,33,10,80 kg
good,42,90,Blue,Female,Blond,178 cm,241,https://www.superherodb.com/pictures2/portraits/10/100/325.jpg,75,Emma Frost,-,100,Marvel Comics,null,35,63,65 kg
good,40,60,Blue,Female,Blond,168 cm,242,https://www.superherodb.com/pictures2/portraits/10/100/687.jpg,63,Enchantress,Artist; Magician,100,DC Comics,Human,25,14,57 kg
good,null,null,-,Female,-,0 cm,243,https://www.superherodb.com/pictures2/portraits/10/100/1155.jpg,null,Energy,-,null,HarperCollins,null,null,null,0 kg
good,null,null,-,Male,-,0 cm,244,https://www.superherodb.com/pictures2/portraits/10/100/1187.jpg,null,ERG-1,-,null,DC Comics,null,null,null,0 kg
good,95,30,Brown,Male,Brown,168 cm,245,https://www.superherodb.com/pictures2/portraits/10/100/10476.jpg,75,Ethan Hunt,"IMF Agent, Training Officer (former), Field Agent, Field Team Leader",26,null,Human,29,11,0 kg
neutral,50,100,Red,Male,No Hair,193 cm,246,https://www.superherodb.com/pictures2/portraits/10/100/10429.jpg,50,Etrigan,-,100,DC Comics,Demon,17,85,203 kg
bad,100,100,White,Male,Red,188 cm,247,https://www.superherodb.com/pictures2/portraits/10/100/10090.jpg,69,Evil Deadpool,"Mercenary, Assasin",100,Deadpool,Mutant,50,32,95 kg
bad,64,70,Red,Male,Black,191 cm,248,https://www.superherodb.com/pictures2/portraits/10/100/1516.jpg,50,Evilhawk,Crimelord,85,Marvel Comics,Alien,33,32,106 kg
bad,70,28,Blue,Male,Black,183 cm,249,https://www.superherodb.com/pictures2/portraits/10/100/1517.jpg,63,Exodus,"Terrorist, would-be conqueror, Former leader of the Acolytes, Crusader",100,Marvel Comics,Mutant,28,81,88 kg
bad,null,null,Blue,-,Brown,196 cm,250,https://www.superherodb.com/pictures2/portraits/10/100/24.jpg,null,Fabian Cortez,Unknown,null,Marvel Comics,null,null,null,96 kg
good,64,28,Brown,Male,Black,188 cm,251,https://www.superherodb.com/pictures2/portraits/10/100/56.jpg,38,Falcon,"Crimefighter, (former) freelance artist",22,Marvel Comics,Human,50,13,108 kg
bad,56,100,Black,Male,Blue,0 cm,252,https://www.superherodb.com/pictures2/portraits/10/100/1051.jpg,88,Fallen One II,-,100,Marvel Comics,null,83,85,0 kg
bad,90,100,-,Female,-,0 cm,253,https://www.superherodb.com/pictures2/portraits/10/100/1502.jpg,88,Faora,Serial killer,98,DC Comics,Kryptonian,75,95,0 kg
good,70,28,Yellow (without irises),-,Orange / White,175 cm,254,https://www.superherodb.com/pictures2/portraits/10/100/57.jpg,38,Feral,"Formerly Adventurer, Terrorist",27,Marvel Comics,null,45,28,50 kg
good,null,null,-,Female,Red,0 cm,255,https://www.superherodb.com/pictures2/portraits/10/100/1167.jpg,null,Fighting Spirit,-,null,DC Comics,null,null,null,0 kg
good,70,100,Red,Male,No Hair,975 cm,256,https://www.superherodb.com/pictures2/portraits/10/100/1518.jpg,50,Fin Fang Foom,-,75,Marvel Comics,Kakarantharaian,23,81,18 tons
good,42,14,Brown,Female,Black,165 cm,257,https://www.superherodb.com/pictures2/portraits/10/100/58.jpg,38,Firebird,"Social worker, adventurer",100,Marvel Comics,null,40,8,56 kg
good,28,90,White,-,Yellow,193 cm,258,https://www.superherodb.com/pictures2/portraits/10/100/59.jpg,38,Firelord,"Former starship captain, former herald of Galactus",52,Marvel Comics,null,75,63,99 kg
good,32,55,Green,Female,Red,173 cm,259,https://www.superherodb.com/pictures2/portraits/10/100/60.jpg,50,Firestar,Student,71,Marvel Comics,Mutant,54,8,56 kg
good,42,56,Brown,Male,Black,0 cm,260,https://www.superherodb.com/pictures2/portraits/10/100/689.jpg,50,Firestorm,University student; former food server at Bryson's Family Treat; former mascot at Ho-Ho Charlie's Chicken Shack; former intern at S.T.A.R. Labs,100,DC Comics,null,58,53,0 kg
good,40,80,Blue,Male,Auburn,188 cm,261,https://www.superherodb.com/pictures2/portraits/10/100/10395.jpg,38,Firestorm,Adventurer; former employee of Bun 'n Run,100,DC Comics,Human,58,80,91 kg
bad,null,null,Red,-,No Hair,0 cm,262,https://www.superherodb.com/pictures2/portraits/10/100/9.jpg,null,Fixer,Criminal inventor,null,Marvel Comics,null,null,null,0 kg
good,32,50,Blue,Male,Brown / White,180 cm,263,https://www.superherodb.com/pictures2/portraits/10/100/891.jpg,63,Flash,"Research Scientist, part-time Director of Garrick Laboratories",68,DC Comics,Human,100,10,81 kg
good,null,null,-,Male,-,0 cm,264,https://www.superherodb.com/pictures2/portraits/10/100/1345.jpg,null,Flash Gordon,-,null,null,null,null,69,0 kg
good,60,60,Blue,Male,Blond,183 cm,265,https://www.superherodb.com/pictures2/portraits/10/100/892.jpg,88,Flash II,Forensic Scientist,100,Black Racer,Black Racer,100,48,88 kg
good,32,60,-,Male,-,183 cm,266,https://www.superherodb.com/pictures2/portraits/10/100/690.jpg,63,Flash III,"Adventurer, Mechanic for the KCPD",100,Speed Demon,Human,100,10,86 kg
good,48,32,Yellow,Male,Auburn,157 cm,267,https://www.superherodb.com/pictures2/portraits/10/100/893.jpg,63,Flash IV,Police trainee,100,Impulse,Human,100,10,52 kg
good,48,28,Brown,-,Black,183 cm,268,https://www.superherodb.com/pictures2/portraits/10/100/62.jpg,63,Forge,"Inventor working for the U.S. government, former soldier",25,Marvel Comics,null,12,10,81 kg
good,50,60,Blue,Male,Blond,142 cm,269,https://www.superherodb.com/pictures2/portraits/10/100/63.jpg,63,Franklin Richards,Student,100,Marvel Comics,Mutant,50,80,45 kg
good,10,1,Blue,-,Grey,188 cm,270,https://www.superherodb.com/pictures2/portraits/10/100/170.jpg,38,Franklin Storm,Surgeon,0,Marvel Comics,null,1,10,92 kg
bad,52,100,Brown,Female,Black,211 cm,271,https://www.superherodb.com/pictures2/portraits/10/100/1108.jpg,63,Frenzy,Mercenary,38,Marvel Comics,null,35,53,104 kg
good,null,null,Blue,Female,White,180 cm,272,https://www.superherodb.com/pictures2/portraits/10/100/172.jpg,null,Frigga,"Queen of Asgard, goddess of marriage",null,Marvel Comics,null,null,null,167 kg
neutral,50,100,Black,Male,Black,876 cm,273,https://www.superherodb.com/pictures2/portraits/10/100/862.jpg,100,Galactus,"Planet Devourer, Third Force of the Universe - balance between Eternity and Death, Nullifying Abraxas' Influence on the Multiverse, Third Face of the Living Tribunal - representing Equity",100,Marvel Comics,Cosmic Entity,83,100,16 tons
good,84,28,Red,Male,Brown,185 cm,274,https://www.superherodb.com/pictures2/portraits/10/100/64.jpg,63,Gambit,"Jean Grey School for Higher Learning, Salem Center, Westchester County, New York; formerly Utopia, San Francisco Bay, California; Xavier Institute, Salem Center, Westchester County, New York; New Orleans; Paris; Cairo; Illinois",55,Marvel Comics,Mutant,23,10,81 kg
good,100,85,Yellow,Female,Black,183 cm,275,https://www.superherodb.com/pictures2/portraits/10/100/65.jpg,75,Gamora,"Assassin, mercenary, adventurer",53,Marvel Comics,Zen-Whoberian,42,85,77 kg
good,null,null,-,Male,-,0 cm,276,https://www.superherodb.com/pictures2/portraits/10/100/1467.jpg,null,Garbage Man,-,null,DC Comics,Mutant,null,82,0 kg
good,10,10,-,Male,-,0 cm,277,https://www.superherodb.com/pictures2/portraits/10/100/1526.jpg,63,Gary Bell,-,54,SyFy,Alpha,8,5,0 kg
bad,95,100,Black,Male,Black,0 cm,278,https://www.superherodb.com/pictures2/portraits/10/100/837.jpg,94,General Zod,-,100,DC Comics,Kryptonian,96,100,0 kg
good,null,null,Blue,Male,Blond,185 cm,279,https://www.superherodb.com/pictures2/portraits/10/100/1055.jpg,null,Genesis,"Former would-be world conqueror, arms dealer, soldier, freedom fighter",null,Marvel Comics,null,null,68,86 kg
good,60,100,Red,Male,No Hair,188 cm,280,https://www.superherodb.com/pictures2/portraits/10/100/67.jpg,50,Ghost Rider,Former stunt motorcyclist,100,Marvel Comics,Demon,25,55,99 kg
good,null,null,-,-,-,0 cm,281,https://www.superherodb.com/pictures2/portraits/10/100/68.jpg,null,Ghost Rider II,-,null,Marvel Comics,null,null,70,0 kg
good,null,null,-,Male,-,0 cm,282,https://www.superherodb.com/pictures2/portraits/10/100/858.jpg,null,Giant-Man,-,null,Ant-Man,Human,null,78,0 kg
good,null,null,-,Male,-,0 cm,283,https://www.superherodb.com/pictures2/portraits/10/100/343.jpg,null,Giant-Man II,-,null,Marvel Comics,null,null,null,0 kg
bad,42,85,Green,Female,Red,62.5 meters,284,https://www.superherodb.com/pictures2/portraits/10/100/1376.jpg,81,Giganta,"Criminal, former Scientist, Professor at Ivy University",32,DC Comics,null,23,89,630 kg
neutral,70,100,Blue,Male,Blue,198 cm,285,https://www.superherodb.com/pictures2/portraits/10/100/1521.jpg,50,Gladiator,Majestor of the Shi'ar Empire; Former Praetor of the Imperial Guard; possibly former Herald of Galactus,77,Marvel Comics,Strontian,100,100,268 kg
bad,56,28,Green,Female,Red,168 cm,286,https://www.superherodb.com/pictures2/portraits/10/100/1054.jpg,75,Goblin Queen,-,65,Marvel Comics,null,23,10,50 kg
bad,20,100,-,-,-,108.0 meters,287,https://www.superherodb.com/pictures2/portraits/10/100/10590.jpg,44,Godzilla,-,100,,Kaiju,54,100,"90,000 tons"
bad,56,72,-,Male,-,0 cm,288,https://www.superherodb.com/pictures2/portraits/10/100/693.jpg,50,Gog,-,39,DC Comics,null,47,34,0 kg
good,100,90,-,Male,-,175 cm,289,https://www.superherodb.com/pictures2/portraits/10/100/1284.jpg,56,Goku,-,100,Shueisha,Saiyan,75,100,62 kg
good,null,null,-,Male,-,0 cm,290,https://www.superherodb.com/pictures2/portraits/10/100/845.jpg,null,Goliath,-,null,Atlas,null,null,null,0 kg
good,null,null,-,Male,-,0 cm,291,https://www.superherodb.com/pictures2/portraits/10/100/847.jpg,null,Goliath,-,null,Hawkeye,Human,null,null,0 kg
good,null,null,-,Male,-,0 cm,292,https://www.superherodb.com/pictures2/portraits/10/100/846.jpg,null,Goliath,-,null,Ant-Man,Human,null,null,0 kg
